rank,node_id,node_group,score,label,pred_above_threshold,attacks,incident_edges,responsible_loss,score_minus_responsible_loss,operation,event_uuid,time_raw,time_eastern,window,target_role,srcnode,dstnode,src_type,dst_type,type_pair,node_label_text,src_label,dst_label,score_band
1,100965,FP_above_threshold,10.881748199,0,1,,89,10.881748199,0.000000000,CREATE,aea6f4d7-7639-4d13-8910-980e71859452,1569334154163000000,2019-09-24 10:09:14.163000 EDT,2019-09-24 10:08:59.964000000~2019-09-24 10:10:00.185000000,dst,1,100965,subject,file,subject->file,file: /Device/HarddiskVolume1/WINDOWS/SYSTEM32/LOGFILES/WMI/RTBACKUP/ETWRTMSDIAGPROV.ETL,subject: System,file: /Device/HarddiskVolume1/WINDOWS/SYSTEM32/LOGFILES/WMI/RTBACKUP/ETWRTMSDIAGPROV.ETL,>= coverage score (10.882)
2,1,TP_above_threshold,10.881748199,1,1,OPTC h201 attack,842055,10.881748199,0.000000000,CREATE,aea6f4d7-7639-4d13-8910-980e71859452,1569334154163000000,2019-09-24 10:09:14.163000 EDT,2019-09-24 10:08:59.964000000~2019-09-24 10:10:00.185000000,src,1,100965,subject,file,subject->file,subject: System,subject: System,file: /Device/HarddiskVolume1/WINDOWS/SYSTEM32/LOGFILES/WMI/RTBACKUP/ETWRTMSDIAGPROV.ETL,>= coverage score (10.882)
3,101855,FP_above_threshold,8.606135368,0,1,,15,8.606135368,0.000000000,CREATE,4f441981-728b-4e02-88cb-eef4d0272b21,1569313998082000000,2019-09-24 04:33:18.082000 EDT,2019-09-24 04:32:23.048000000~2019-09-24 04:33:56.463000000,dst,507,101855,subject,file,subject->file,file: /Device/HarddiskVolume1/Windows/SysWOW64/config/systemprofile/AppData/Local/Microsoft/Windows Live/Bici/_07.sqm,subject: taskkill.exe | taskkill  /f /im OneDrive.exe,file: /Device/HarddiskVolume1/Windows/SysWOW64/config/systemprofile/AppData/Local/Microsoft/Windows Live/Bici/_07.sqm,threshold to coverage (6.881-10.882)
4,507,FP_above_threshold,8.606135368,0,1,,25,8.606135368,0.000000000,CREATE,4f441981-728b-4e02-88cb-eef4d0272b21,1569313998082000000,2019-09-24 04:33:18.082000 EDT,2019-09-24 04:32:23.048000000~2019-09-24 04:33:56.463000000,src,507,101855,subject,file,subject->file,subject: taskkill.exe | taskkill  /f /im OneDrive.exe,subject: taskkill.exe | taskkill  /f /im OneDrive.exe,file: /Device/HarddiskVolume1/Windows/SysWOW64/config/systemprofile/AppData/Local/Microsoft/Windows Live/Bici/_07.sqm,threshold to coverage (6.881-10.882)
5,101171,FP_above_threshold,8.451066971,0,1,,288,8.451066971,0.000000000,CREATE,d6ffe6da-e171-45a5-8e58-7e9dcb40f80f,1569313998083000000,2019-09-24 04:33:18.083000 EDT,2019-09-24 04:32:23.048000000~2019-09-24 04:33:56.463000000,dst,507,101171,subject,file,subject->file,file: /Device/HarddiskVolume1/Windows/SysWOW64/config/systemprofile/AppData/Local/Microsoft/Windows Live/Bici/EmptyOptIn.sqm,subject: taskkill.exe | taskkill  /f /im OneDrive.exe,file: /Device/HarddiskVolume1/Windows/SysWOW64/config/systemprofile/AppData/Local/Microsoft/Windows Live/Bici/EmptyOptIn.sqm,threshold to coverage (6.881-10.882)
6,134402,FP_above_threshold,8.365710258,0,1,,8,8.365710258,0.000000000,MODIFY,5896fded-516e-4636-9b8c-6c873ff76259,1569250456809000000,2019-09-23 10:54:16.809000 EDT,2019-09-23 10:54:10.673000000~2019-09-23 10:55:14.813000000,dst,11648,134402,subject,file,subject->file,file: /Device/HarddiskVolume1/USERS/ZLEAZER/APPDATA/LOCAL/MICROSOFT/WINDOWS/NOTIFICATIONS/WPNDATABASE.DB,subject: /Device/HarddiskVolume1/Program Files (x86)/Google/Update/GoogleUpdate.exe | C:/Windows/system32/svchost.exe -k UnistackSvcGroup,file: /Device/HarddiskVolume1/USERS/ZLEAZER/APPDATA/LOCAL/MICROSOFT/WINDOWS/NOTIFICATIONS/WPNDATABASE.DB,threshold to coverage (6.881-10.882)
7,11648,FP_above_threshold,8.365710258,0,1,,246,8.365710258,0.000000000,MODIFY,5896fded-516e-4636-9b8c-6c873ff76259,1569250456809000000,2019-09-23 10:54:16.809000 EDT,2019-09-23 10:54:10.673000000~2019-09-23 10:55:14.813000000,src,11648,134402,subject,file,subject->file,subject: /Device/HarddiskVolume1/Program Files (x86)/Google/Update/GoogleUpdate.exe | C:/Windows/system32/svchost.exe -k UnistackSvcGroup,subject: /Device/HarddiskVolume1/Program Files (x86)/Google/Update/GoogleUpdate.exe | C:/Windows/system32/svchost.exe -k UnistackSvcGroup,file: /Device/HarddiskVolume1/USERS/ZLEAZER/APPDATA/LOCAL/MICROSOFT/WINDOWS/NOTIFICATIONS/WPNDATABASE.DB,threshold to coverage (6.881-10.882)
8,102814,FP_above_threshold,8.365708351,0,1,,4,8.365708351,0.000000000,MODIFY,9707d161-2590-402d-8ecb-dcba1efd4109,1569334076383000000,2019-09-24 10:07:56.383000 EDT,2019-09-24 10:07:18.015000000~2019-09-24 10:08:59.963000000,dst,69,102814,subject,file,subject->file,file: /Device/HarddiskVolume1/USERS/ZLEAZER/APPDATA/LOCAL/MICROSOFT/WINDOWS/NOTIFICATIONS/WPNDATABASE.DB,subject: /Device/HarddiskVolume1/Program Files (x86)/Google/Update/GoogleUpdate.exe | C:/Windows/system32/svchost.exe -k UnistackSvcGroup,file: /Device/HarddiskVolume1/USERS/ZLEAZER/APPDATA/LOCAL/MICROSOFT/WINDOWS/NOTIFICATIONS/WPNDATABASE.DB,threshold to coverage (6.881-10.882)
9,69,FP_above_threshold,8.365708351,0,1,,306,8.365708351,0.000000000,MODIFY,9707d161-2590-402d-8ecb-dcba1efd4109,1569334076383000000,2019-09-24 10:07:56.383000 EDT,2019-09-24 10:07:18.015000000~2019-09-24 10:08:59.963000000,src,69,102814,subject,file,subject->file,subject: /Device/HarddiskVolume1/Program Files (x86)/Google/Update/GoogleUpdate.exe | C:/Windows/system32/svchost.exe -k UnistackSvcGroup,subject: /Device/HarddiskVolume1/Program Files (x86)/Google/Update/GoogleUpdate.exe | C:/Windows/system32/svchost.exe -k UnistackSvcGroup,file: /Device/HarddiskVolume1/USERS/ZLEAZER/APPDATA/LOCAL/MICROSOFT/WINDOWS/NOTIFICATIONS/WPNDATABASE.DB,threshold to coverage (6.881-10.882)
10,140493,FP_above_threshold,7.465018272,0,1,,1,7.465018272,0.000000000,DELETE,164c7c79-3aa2-477c-b4a3-7e50f6ac6b5a,1569253784765000000,2019-09-23 11:49:44.765000 EDT,2019-09-23 11:49:13.019000000~2019-09-23 11:50:46.632000000,dst,11648,140493,subject,file,subject->file,file: /Device/HarddiskVolume1/documents/C1306EF.tmp,subject: /Device/HarddiskVolume1/Program Files (x86)/Google/Update/GoogleUpdate.exe | C:/Windows/system32/svchost.exe -k UnistackSvcGroup,file: /Device/HarddiskVolume1/documents/C1306EF.tmp,threshold to coverage (6.881-10.882)
