node_group,node_group_label,operation,type_pair,target_role,src_label,dst_label,attack,short_attack,endpoint_pair,short_endpoint_pair,count,fraction
TN_high_below_threshold,Top 500 benign nodes just below threshold,CREATE,subject->subject,dst,subject: /Device/HarddiskVolume1/Windows/system32/svchost.exe,"subject: /Device/HarddiskVolume1/Windows/system32/backgroundTaskHost.exe | ""C:/Windows/system32/backgroundTaskHost.exe"" -ServerName:CortanaUI.AppXy7vb4pc2dr3kc93kfc509b1d0arkfb2x.mca",benign,benign,"subject: /Device/HarddiskVolume1/Windows/system32/svchost.exe -> subject: /Device/HarddiskVolume1/Windows/system32/backgroundTaskHost.exe | ""C:/Windows/system32/backgroundTaskHost.exe"" -ServerName:CortanaUI.AppXy7vb4pc2dr3kc93kfc509b1d0arkfb2x.mca",system32/svchost.exe --> system32/backgroundTaskHost.exe,21,0.042000000
TN_high_below_threshold,Top 500 benign nodes just below threshold,CREATE,subject->subject,dst,subject: %SystemRoot%/system32/csrss.exe | C:/Python27/python.EXE C:/ncr/kickoff/kickoff.py -d C:/ncr/kickoff -m AUTOLOGIN,"subject: /Device/HarddiskVolume1/Windows/system32/cmd.exe | C:/Windows/system32/cmd.exe /c ""schtasks /query /tn ""KickoffAutoLoginRandom""""",benign,benign,"subject: %SystemRoot%/system32/csrss.exe | C:/Python27/python.EXE C:/ncr/kickoff/kickoff.py -d C:/ncr/kickoff -m AUTOLOGIN -> subject: /Device/HarddiskVolume1/Windows/system32/cmd.exe | C:/Windows/system32/cmd.exe /c ""schtasks /query /tn ""KickoffAutoLoginRandom""""",%SystemRoot%/system32/csrss.exe --> system32/cmd.exe,12,0.024000000
TN_high_below_threshold,Top 500 benign nodes just below threshold,CREATE,subject->subject,dst,subject: schtasks.exe,subject: /Device/HarddiskVolume1/Windows/system32/conhost.exe | /??/C:/Windows/system32/conhost.exe 0xffffffff -ForceV1,benign,benign,subject: schtasks.exe -> subject: /Device/HarddiskVolume1/Windows/system32/conhost.exe | /??/C:/Windows/system32/conhost.exe 0xffffffff -ForceV1,schtasks.exe --> system32/conhost.exe,7,0.014000000
TN_high_below_threshold,Top 500 benign nodes just below threshold,CREATE,subject->subject,src,subject: schtasks.exe,subject: /Device/HarddiskVolume1/Windows/system32/conhost.exe | /??/C:/Windows/system32/conhost.exe 0xffffffff -ForceV1,benign,benign,subject: schtasks.exe -> subject: /Device/HarddiskVolume1/Windows/system32/conhost.exe | /??/C:/Windows/system32/conhost.exe 0xffffffff -ForceV1,schtasks.exe --> system32/conhost.exe,7,0.014000000
TN_high_below_threshold,Top 500 benign nodes just below threshold,WRITE,subject->file,dst,subject: /Device/HarddiskVolume1/Windows/system32/svchost.exe | C:/Windows/system32/svchost.exe -k netsvcs,file: /Device/HarddiskVolume1/WINDOWS/SYSTEM32/WBEM/REPOSITORY/OBJECTS.DATA,benign,benign,subject: /Device/HarddiskVolume1/Windows/system32/svchost.exe | C:/Windows/system32/svchost.exe -k netsvcs -> file: /Device/HarddiskVolume1/WINDOWS/SYSTEM32/WBEM/REPOSITORY/OBJECTS.DATA,system32/svchost.exe --> REPOSITORY/OBJECTS.DATA,5,0.010000000
TN_high_below_threshold,Top 500 benign nodes just below threshold,WRITE,subject->file,dst,subject: /Device/HarddiskVolume1/Windows/system32/svchost.exe | C:/Windows/system32/svchost.exe -k netsvcs,file: /Device/HarddiskVolume1/WINDOWS/SYSTEM32/WBEM/REPOSITORY/INDEX.BTR,benign,benign,subject: /Device/HarddiskVolume1/Windows/system32/svchost.exe | C:/Windows/system32/svchost.exe -k netsvcs -> file: /Device/HarddiskVolume1/WINDOWS/SYSTEM32/WBEM/REPOSITORY/INDEX.BTR,system32/svchost.exe --> REPOSITORY/INDEX.BTR,5,0.010000000
FN_below_threshold,FN: malicious below threshold,CREATE,subject->subject,dst,"subject: /Device/HarddiskVolume1/Program Files (x86)/Google/Update/GoogleUpdate.exe | C:/Python27/python.exe ""c:/ncr/mantra/runtime/Scripts/mantra-script.py"" ""-d"" ""c:/ncr/mantra"" ""--random_startup"" ""17""","subject: /Device/HarddiskVolume1/Windows/system32/cmd.exe | C:/Windows/system32/cmd.exe /c ""C:/Windows/SysNative/qwinsta.exe zleazer /server 142.20.61.187""",OPTC h201 attack,Attack 0,"subject: /Device/HarddiskVolume1/Program Files (x86)/Google/Update/GoogleUpdate.exe | C:/Python27/python.exe ""c:/ncr/mantra/runtime/Scripts/mantra-script.py"" ""-d"" ""c:/ncr/mantra"" ""--random_startup"" ""17"" -> subject: /Device/HarddiskVolume1/Windows/system32/cmd.exe | C:/Windows/system32/cmd.exe /c ""C:/Windows/SysNative/qwinsta.exe zleazer /server 142.20.61.187""",Update/GoogleUpdate.exe --> system32/cmd.exe,5,0.001721763
TN_high_below_threshold,Top 500 benign nodes just below threshold,CREATE,subject->file,dst,subject: System,file: /Device/HarddiskVolume1/Windows/System32/WDI/LogFiles/SecondaryLogonCKCL.etl,benign,benign,subject: System -> file: /Device/HarddiskVolume1/Windows/System32/WDI/LogFiles/SecondaryLogonCKCL.etl,System --> LogFiles/SecondaryLogonCKCL.etl,4,0.008000000
TN_high_below_threshold,Top 500 benign nodes just below threshold,DELETE,subject->file,dst,subject: System,file: /Device/HarddiskVolume1/Windows/System32/LogFiles/WMI/RtBackup/EtwRTAdmin_PS_Provider.etl,benign,benign,subject: System -> file: /Device/HarddiskVolume1/Windows/System32/LogFiles/WMI/RtBackup/EtwRTAdmin_PS_Provider.etl,System --> RtBackup/EtwRTAdmin_PS_Provider.etl,4,0.008000000
TN_high_below_threshold,Top 500 benign nodes just below threshold,CREATE,subject->subject,dst,subject: /Device/HarddiskVolume1/Windows/system32/cmd.exe,"subject: reg.exe | reg  add HKEY_CURRENT_USER/Software/Microsoft/Office/Common/UserInfo /t REG_SZ /v UserInitials /d ""zl"" /f /reg:64",benign,benign,"subject: /Device/HarddiskVolume1/Windows/system32/cmd.exe -> subject: reg.exe | reg  add HKEY_CURRENT_USER/Software/Microsoft/Office/Common/UserInfo /t REG_SZ /v UserInitials /d ""zl"" /f /reg:64",system32/cmd.exe --> reg.exe,4,0.008000000
