node_group,dst_label,count,fraction
TP_above_threshold,file: /Device/HarddiskVolume1/WINDOWS/SYSTEM32/LOGFILES/WMI/RTBACKUP/ETWRTMSDIAGPROV.ETL,1,1.000000000
FP_above_threshold,file: /Device/HarddiskVolume1/USERS/ZLEAZER/APPDATA/LOCAL/MICROSOFT/WINDOWS/NOTIFICATIONS/WPNDATABASE.DB,4,0.210526316
FP_above_threshold,file: /Device/HarddiskVolume1/Windows/SysWOW64/config/systemprofile/AppData/Local/Microsoft/Windows Live/Bici/_07.sqm,2,0.105263158
FP_above_threshold,file: /Device/HarddiskVolume1/WINDOWS/Security/Database/edbtmp.log,2,0.105263158
FP_above_threshold,subject: /Device/HarddiskVolume1/Program Files (x86)/Google/Update/GoogleUpdate.exe | /??/C:/Windows/system32/conhost.exe 0xffffffff -ForceV1,2,0.105263158
FP_above_threshold,file: /Device/HarddiskVolume1/WINDOWS/PREFETCH/SVCHOST.EXE-383BACA3.PF,2,0.105263158
FP_above_threshold,file: /Device/HarddiskVolume1/Users/zleazer/AppData/Local/Packages/Microsoft.Windows.Cortana_cw5n1h2txyewy/AppData/Indexed DB/edbtmp.log,2,0.105263158
FP_above_threshold,file: /Device/HarddiskVolume1/WINDOWS/SYSTEM32/LOGFILES/WMI/RTBACKUP/ETWRTMSDIAGPROV.ETL,1,0.052631579
FP_above_threshold,file: /Device/HarddiskVolume1/Windows/SysWOW64/config/systemprofile/AppData/Local/Microsoft/Windows Live/Bici/EmptyOptIn.sqm,1,0.052631579
FP_above_threshold,file: /Device/HarddiskVolume1/documents/C1306EF.tmp,1,0.052631579
FP_above_threshold,file: /Device/HarddiskVolume1/documents/pptB182.tmp,1,0.052631579
FP_above_threshold,file: /Device/HarddiskVolume1/documents/~$PHARAOH_TYPEFACE_V.10.pptx,1,0.052631579
FN_below_threshold,subject: /Device/HarddiskVolume1/Windows/System32/WindowsPowerShell/v1.0/powershell.exe,1376,0.473829201
FN_below_threshold,subject: powershell.exe,40,0.013774105
FN_below_threshold,subject: /Device/HarddiskVolume1/Windows/system32/svchost.exe,13,0.004476584
FN_below_threshold,"subject: /Device/HarddiskVolume1/Windows/system32/cmd.exe | C:/Windows/system32/cmd.exe /c ""C:/Windows/SysNative/qwinsta.exe zleazer /server 142.20.61.187""",5,0.001721763
FN_below_threshold,subject: /Device/HarddiskVolume1/Windows/SysNative/qwinsta.exe | C:/Windows/SysNative/qwinsta.exe  zleazer /server 142.20.61.187,4,0.001377410
FN_below_threshold,subject: /Device/HarddiskVolume1/Program Files (x86)/Mozilla Firefox/firefox.exe,4,0.001377410
FN_below_threshold,subject: /Device/HarddiskVolume1/Windows/system32/cmd.exe | C:/Windows/SysNative/qwinsta.exe  zleazer /server 142.20.61.187,3,0.001033058
FN_below_threshold,subject: /Device/HarddiskVolume1/Windows/system32/lsass.exe | C:/Windows/SysNative/qwinsta.exe  zleazer /server 142.20.61.187,3,0.001033058
FN_below_threshold,node 99701,2,0.000688705
FN_below_threshold,subject: /Device/HarddiskVolume1/Windows/system32/conhost.exe | C:/Windows/SysNative/qwinsta.exe  zleazer /server 142.20.61.187,2,0.000688705
FN_below_threshold,subject: /Device/HarddiskVolume1/Windows/system32/conhost.exe | taskkill  /F /IM AdobeARM.exe,1,0.000344353
FN_below_threshold,"subject: /Device/HarddiskVolume1/Windows/system32/svchost.exe | ""C:/Windows/SystemApps/Microsoft.Windows.Cortana_cw5n1h2txyewy/SearchUI.exe"" -ServerName:CortanaUI.AppXa50dqqa5gqv4a428c9y1jjw7m3btvepj.mca",1,0.000344353
FN_below_threshold,"subject: /Device/HarddiskVolume1/Program Files (x86)/Google/Update/GoogleUpdate.exe | ""C:/Program Files/Windows Defender/MSASCuiL.exe"" ",1,0.000344353
FN_below_threshold,subject: /Device/HarddiskVolume1/Program Files (x86)/Google/Update/GoogleUpdate.exe | /??/C:/Windows/system32/conhost.exe 0xffffffff -ForceV1,1,0.000344353
FN_below_threshold,file: /Device/HarddiskVolume1/Users/zleazer/AppData/Roaming/Microsoft/Windows/Recent/CustomDestinations/Q58CGY195VIPM2VA2BJV.temp,1,0.000344353
FN_below_threshold,"subject: /Device/HarddiskVolume1/Program Files (x86)/Google/Update/GoogleUpdate.exe | ""C:/Python27/python.exe"" -c ""import sys; sys.path = ['c://ncr//mantra//runtime//Lib//site-packages//wexpect-1.0-py2.7.egg'] + sys.path;args = ['C://Windows//system32//cmd.exe']; import wexpect;wexpect.ConsoleReader(wexpect.join_args(args), 5088, 4260)""",1,0.000344353
FN_below_threshold,"subject: /Device/HarddiskVolume1/Windows/system32/wbem/wmiprvse.exe | ""C:/Windows/system32/PING.EXE"" -n 1 -w 100 142.20.56.249",1,0.000344353
FN_below_threshold,file: /Device/HarddiskVolume1/Users/zleazer/AppData/Local/Microsoft/OneDrive/logs/Personal/SyncEngine-2019-9-23.1142.2716.1.odl,1,0.000344353
FN_below_threshold,subject: /Device/HarddiskVolume1/Program Files (x86)/Mozilla Firefox/firefox.exe | C:/Windows/SysNative/qwinsta.exe  zleazer /server 142.20.61.187,1,0.000344353
FN_below_threshold,file: /Device/HarddiskVolume1/$Mft,1,0.000344353
FN_below_threshold,subject: findstr.exe | findstr  142.20.61.187,1,0.000344353
