rank,node_id,node_group,score,label,pred_above_threshold,attacks,incident_edges,responsible_loss,score_minus_responsible_loss,operation,event_uuid,time_raw,time_eastern,window,target_role,srcnode,dstnode,src_type,dst_type,type_pair,node_label_text,src_label,dst_label,score_band
1,74052,FP_above_threshold,5.713635445,0,1,,2,5.713635445,0.000000000,CREATE,28b793c3-6663-410a-8746-bc93edbb796b,1569334606934000000,2019-09-24 10:16:46.934000 EDT,2019-09-24 10:14:44.823000000~2019-09-24 10:29:59.096000000,dst,3570,74052,subject,file,subject->file,file: /Device/HarddiskVolume1/Windows/system32/Logfiles/WMI/RtBackup/EtwRTrundownCollector.etl,subject: System,file: /Device/HarddiskVolume1/Windows/system32/Logfiles/WMI/RtBackup/EtwRTrundownCollector.etl,>= coverage score (5.714)
2,3570,TP_above_threshold,5.713635445,1,1,OPTC h501 attack,558197,5.713635445,0.000000000,CREATE,28b793c3-6663-410a-8746-bc93edbb796b,1569334606934000000,2019-09-24 10:16:46.934000 EDT,2019-09-24 10:14:44.823000000~2019-09-24 10:29:59.096000000,src,3570,74052,subject,file,subject->file,subject: System,subject: System,file: /Device/HarddiskVolume1/Windows/system32/Logfiles/WMI/RtBackup/EtwRTrundownCollector.etl,>= coverage score (5.714)
3,355804,TN_high_below_threshold,5.698988914,0,0,,3,5.698988914,0.000000000,CREATE,3e6fa323-523c-4b40-a7aa-cc05e8570798,1569236958063000000,2019-09-23 07:09:18.063000 EDT,2019-09-23 07:06:37.187000000~2019-09-23 07:21:53.099000000,dst,3,355804,subject,file,subject->file,file: /Device/HarddiskVolume1/Windows/system32/WDI/LogFiles/SecondaryLogonCKCL.etl,subject: System,file: /Device/HarddiskVolume1/Windows/system32/WDI/LogFiles/SecondaryLogonCKCL.etl,threshold to coverage (5.699-5.714)
4,3,TN_high_below_threshold,5.698988914,0,0,,823169,5.698988914,0.000000000,CREATE,3e6fa323-523c-4b40-a7aa-cc05e8570798,1569236958063000000,2019-09-23 07:09:18.063000 EDT,2019-09-23 07:06:37.187000000~2019-09-23 07:21:53.099000000,src,3,355804,subject,file,subject->file,subject: System,subject: System,file: /Device/HarddiskVolume1/Windows/system32/WDI/LogFiles/SecondaryLogonCKCL.etl,threshold to coverage (5.699-5.714)
5,132065,TN_high_below_threshold,5.698987961,0,0,,6,5.698987961,0.000000000,CREATE,8a9b2b3f-33e8-4089-872a-2de48e43b10c,1569260057055000000,2019-09-23 13:34:17.055000 EDT,2019-09-23 13:26:40.451000000~2019-09-23 13:42:02.506000000,dst,3,132065,subject,file,subject->file,file: /Device/HarddiskVolume1/Windows/system32/WDI/LogFiles/SecondaryLogonCKCL.etl,subject: System,file: /Device/HarddiskVolume1/Windows/system32/WDI/LogFiles/SecondaryLogonCKCL.etl,5.000 to threshold (5.699)
6,90471,TN_high_below_threshold,5.698987961,0,0,,4,5.698987961,0.000000000,CREATE,372ad928-b8b2-4e0c-87c4-62370b3df595,1569345565575000000,2019-09-24 13:19:25.575000 EDT,2019-09-24 13:16:45.685000000~2019-09-24 13:31:59.312000000,dst,3570,90471,subject,file,subject->file,file: /Device/HarddiskVolume1/Windows/system32/WDI/LogFiles/SecondaryLogonCKCL.etl,subject: System,file: /Device/HarddiskVolume1/Windows/system32/WDI/LogFiles/SecondaryLogonCKCL.etl,5.000 to threshold (5.699)
7,109952,TN_high_below_threshold,5.693843842,0,0,,9,5.693843842,0.000000000,CREATE,66bf5315-66d2-461d-b521-8bd28f7cc501,1569417261187000000,2019-09-25 09:14:21.187000 EDT,2019-09-25 09:11:14.913000000~2019-09-25 09:26:16.855000000,dst,3570,109952,subject,file,subject->file,file: /Device/HarddiskVolume1/Windows/system32/WDI/LogFiles/ShutdownCKCL.etl,subject: System,file: /Device/HarddiskVolume1/Windows/system32/WDI/LogFiles/ShutdownCKCL.etl,5.000 to threshold (5.699)
8,10868,TN_high_below_threshold,5.693843842,0,0,,128220,5.693843842,0.000000000,CREATE,11119c41-4e1d-4725-a816-8e8ec2834a29,1569434073605000000,2019-09-25 13:54:33.605000 EDT,2019-09-25 13:45:56.083000000~2019-09-25 14:01:05.053000000,src,10868,109952,subject,file,subject->file,subject: System,subject: System,file: /Device/HarddiskVolume1/Windows/system32/WDI/LogFiles/ShutdownCKCL.etl,5.000 to threshold (5.699)
9,124874,TN_high_below_threshold,5.661005497,0,0,,4,5.661005497,0.000000000,CREATE,26010b2f-14da-456c-abed-977af969c7bb,1569249165076000000,2019-09-23 10:32:45.076000 EDT,2019-09-23 10:24:42.648000000~2019-09-23 10:39:50.051000000,dst,3,124874,subject,file,subject->file,file: /Device/HarddiskVolume1/Windows/System32/WDI/LogFiles/SecondaryLogonCKCL.etl,subject: System,file: /Device/HarddiskVolume1/Windows/System32/WDI/LogFiles/SecondaryLogonCKCL.etl,5.000 to threshold (5.699)
10,104580,TN_high_below_threshold,5.661005497,0,0,,4,5.661005497,0.000000000,CREATE,4c56c712-8d19-453c-a137-8c99757058ee,1569356580706000000,2019-09-24 16:23:00.706000 EDT,2019-09-24 16:19:56.091000000~2019-09-24 16:35:04.786000000,dst,3570,104580,subject,file,subject->file,file: /Device/HarddiskVolume1/Windows/System32/WDI/LogFiles/SecondaryLogonCKCL.etl,subject: System,file: /Device/HarddiskVolume1/Windows/System32/WDI/LogFiles/SecondaryLogonCKCL.etl,5.000 to threshold (5.699)
