node_id,attack_id,rank,score,label,pred_velox_threshold,in_all_attacks_rank_prefix,in_all_attacks_score_cutoff,node_type,path,cmd,src_addr,src_port,dst_addr,dst_port
3570,0,2,5.713635445,1,1,1,1,,,,,,,
70927,0,117,4.042287827,1,0,0,0,,,,,,,
3587,0,957,3.311410904,1,0,0,0,,,,,,,
3771,0,2151,3.254313946,1,0,0,0,,,,,,,
3820,0,2392,3.235416412,1,0,0,0,,,,,,,
3594,0,2793,3.222006559,1,0,0,0,,,,,,,
94679,0,4627,3.182888269,1,0,0,0,,,,,,,
3986,0,5915,2.992310047,1,0,0,0,,,,,,,
4002,0,6086,2.896830320,1,0,0,0,,,,,,,
3569,0,7017,2.854289770,1,0,0,0,,,,,,,
84619,0,8640,2.364900112,1,0,0,0,,,,,,,
5650,0,8646,2.361423492,1,0,0,0,,,,,,,
5560,0,9104,2.271114111,1,0,0,0,,,,,,,
3576,0,10021,2.220579624,1,0,0,0,,,,,,,
5881,0,11147,2.177191257,1,0,0,0,,,,,,,
6053,0,13507,2.162054539,1,0,0,0,,,,,,,
5970,0,13508,2.162054539,1,0,0,0,,,,,,,
5956,0,13509,2.162054539,1,0,0,0,,,,,,,
5883,0,13510,2.162054539,1,0,0,0,,,,,,,
5880,0,15616,2.131642342,1,0,0,0,,,,,,,
95241,0,16375,2.118500233,1,0,0,0,,,,,,,
5773,0,16480,2.117030144,1,0,0,0,,,,,,,
5665,0,18143,2.106523991,1,0,0,0,,,,,,,
5495,0,19305,2.103716850,1,0,0,0,,,,,,,
3586,0,23683,2.031339645,1,0,0,0,,,,,,,
6072,0,24563,2.007200003,1,0,0,0,,,,,,,
78489,0,24646,2.004661083,1,0,0,0,,,,,,,
95249,0,36058,1.470703483,1,0,0,0,,,,,,,
96925,0,37049,1.282778382,1,0,0,0,,,,,,,
94234,0,37050,1.282778382,1,0,0,0,,,,,,,
78490,0,37714,1.234019518,1,0,0,0,,,,,,,
87266,0,38956,1.170033097,1,0,0,0,,,,,,,
79751,0,43650,1.135108948,1,0,0,0,,,,,,,
81951,0,43845,1.124031425,1,0,0,0,,,,,,,
81949,0,43861,1.120418191,1,0,0,0,,,,,,,
81950,0,43862,1.120267391,1,0,0,0,,,,,,,
822634,0,44745,1.001472950,1,0,0,0,,,,,,,
822463,0,44746,1.001472950,1,0,0,0,,,,,,,
822394,0,44747,1.001472950,1,0,0,0,,,,,,,
822289,0,44748,1.001472950,1,0,0,0,,,,,,,
822286,0,44749,1.001472950,1,0,0,0,,,,,,,
822100,0,44750,1.001472950,1,0,0,0,,,,,,,
822090,0,44751,1.001472950,1,0,0,0,,,,,,,
821935,0,44752,1.001472950,1,0,0,0,,,,,,,
821567,0,44753,1.001472950,1,0,0,0,,,,,,,
821185,0,44754,1.001472950,1,0,0,0,,,,,,,
820069,0,44755,1.001472950,1,0,0,0,,,,,,,
818319,0,44756,1.001472950,1,0,0,0,,,,,,,
814870,0,44757,1.001472950,1,0,0,0,,,,,,,
814821,0,44758,1.001472950,1,0,0,0,,,,,,,
812793,0,44759,1.001472950,1,0,0,0,,,,,,,
812783,0,44760,1.001472950,1,0,0,0,,,,,,,
812663,0,44761,1.001472950,1,0,0,0,,,,,,,
812662,0,44762,1.001472950,1,0,0,0,,,,,,,
812551,0,44763,1.001472950,1,0,0,0,,,,,,,
