node_group,operation,type_pair,count,fraction
FN_below_threshold,CREATE,subject->subject,44,0.385964912
FN_below_threshold,START,subject->netflow,39,0.342105263
FN_below_threshold,MESSAGE,netflow->subject,7,0.061403509
FN_below_threshold,OPEN,subject->subject,6,0.052631579
FN_below_threshold,DELETE,subject->file,5,0.043859649
FN_below_threshold,MODIFY,subject->file,3,0.026315789
FN_below_threshold,START,netflow->subject,3,0.026315789
FN_below_threshold,MESSAGE,subject->netflow,2,0.017543860
FN_below_threshold,TERMINATE,subject->subject,2,0.017543860
FN_below_threshold,READ,file->subject,1,0.008771930
FN_below_threshold,RENAME,subject->file,1,0.008771930
FN_below_threshold,WRITE,subject->file,1,0.008771930
TN_high_below_threshold,RENAME,subject->file,263,0.526000000
TN_high_below_threshold,CREATE,subject->file,129,0.258000000
TN_high_below_threshold,DELETE,subject->file,41,0.082000000
TN_high_below_threshold,MODIFY,subject->file,38,0.076000000
TN_high_below_threshold,WRITE,subject->file,23,0.046000000
TN_high_below_threshold,CREATE,subject->subject,6,0.012000000
