node_group,src_label,count,fraction
FN_below_threshold,"subject: /Device/HarddiskVolume1/Windows/system32/svchost.exe | cscript ""C:/Windows/TEMP/myHbYXTpViwX.vbs""",29,0.254385965
FN_below_threshold,subject: biguwcmnsucig.exe,10,0.087719298
FN_below_threshold,subject: //?/C:/Program Files (x86)/Mozilla Firefox/firefox.exe,6,0.052631579
FN_below_threshold,subject: /Device/HarddiskVolume1/Windows/SYSTEM32/cmd.exe,4,0.035087719
FN_below_threshold,subject: /Device/HarddiskVolume1/Windows/system32/svchost.exe | C:/Windows/Explorer.EXE,3,0.026315789
FN_below_threshold,subject: /Device/HarddiskVolume1/Windows/system32/svchost.exe | C:/Windows/system32/svchost.exe -k netsvcs,3,0.026315789
FN_below_threshold,subject: /Device/HarddiskVolume1/Program Files (x86)/Google/Update/GoogleUpdate.exe,3,0.026315789
FN_below_threshold,subject: /Device/HarddiskVolume1/Windows/system32/svchost.exe,3,0.026315789
FN_below_threshold,netflow 53.192.68.50:58888->142.20.56.52:3389,2,0.017543860
FN_below_threshold,subject: /Device/HarddiskVolume1/Windows/system32/conhost.exe,2,0.017543860
FN_below_threshold,subject: /Device/HarddiskVolume1/Windows/Temp/rad640CA.tmp/biGuWCmNsuCIG.exe,2,0.017543860
FN_below_threshold,subject: wininit.exe,2,0.017543860
FN_below_threshold,subject: /Device/HarddiskVolume1/Windows/system32/lsass.exe,2,0.017543860
FN_below_threshold,subject: cmd.exe,2,0.017543860
FN_below_threshold,subject: taskhostw.exe,2,0.017543860
FN_below_threshold,subject: /Device/HarddiskVolume1/Windows/Temp/radAF010.tmp/biGuWCmNsuCIG.exe,2,0.017543860
FN_below_threshold,subject: taskhostw.exe | taskhostw.exe SYSTEM,1,0.008771930
FN_below_threshold,subject: LogonUI.exe | wininit.exe,1,0.008771930
FN_below_threshold,subject: %SystemRoot%/system32/csrss.exe | gpupdate.exe /target:user,1,0.008771930
FN_below_threshold,netflow 53.192.68.50:58878->142.20.56.52:3389,1,0.008771930
FN_below_threshold,subject: /Device/HarddiskVolume1/Windows/system32/svchost.exe | C:/Windows/System32/svchost.exe -k LocalSystemNetworkRestricted,1,0.008771930
FN_below_threshold,subject: /Device/HarddiskVolume1/Windows/system32/services.exe,1,0.008771930
FN_below_threshold,subject: /Device/HarddiskVolume1/Windows/Explorer.EXE,1,0.008771930
FN_below_threshold,subject: /Device/HarddiskVolume1/Users/dcoombes/Downloads/update.exe,1,0.008771930
FN_below_threshold,subject: gpupdate.exe,1,0.008771930
FN_below_threshold,subject: net1.exe,1,0.008771930
FN_below_threshold,subject: /Device/HarddiskVolume1/Program Files (x86)/Google/Chrome/Application/chrome.exe,1,0.008771930
FN_below_threshold,subject: /Device/HarddiskVolume1/Python27/python.EXE,1,0.008771930
